"V1","V2","V3","V4"
"Raw62",-0.00327717978852289,-0.00700253476664039,-0.0204098209762308,0.0356577727356981
"Raw63",0.026078550528024,-0.0198632603701408,-0.00958170932798818,0.0634355606832838
"Raw64",0.0331654627529368,-0.00169356152981029,-0.00209362912993167,0.0585665204229852
"Raw65",-0.0129998523313703,0.00214919930997976,-0.0876191204040428,-0.0599965028280475
"Raw66",0.015642491470455,0.0792998713927907,-0.0168439266370953,0.0177895500547024
"Raw67",0.0271667047287433,0.0867018080464035,0.0725815095511233,0.0626595621603117
"Raw68",0.0237615377382666,0.0363714073609816,0.0458385124132147,0.0425300544425081
"Raw69",-0.0555049037860291,-0.0249368182115987,-0.0272883719641569,-0.0303998698656161
"Raw70",-0.0867090223532585,-0.0676349214227463,0.0231596332073343,0.00692424267492368
"Raw71",-0.0324361780119813,0.015361076006547,0.0392040211383,0.0954653125448976
"Raw72",-0.0378559778269111,0.0217158456924463,0.0477580518995511,-0.0170768019186066
"Raw73",0.091129279236934,-0.0129383388999994,0.0176436359131905,-0.0213493821296088
"Raw74",0.0101950630859577,0.0256012128490062,0.0108710258845339,-0.123493341198702
"Raw75",-0.0416630889004236,-0.0836301697636985,0.0395806149527651,0.000557028664542742
"Raw76",-0.00945724583766266,-0.0266481626338957,-0.0545377605011718,0.00244839829672993
"Raw77",0.0039757220626469,0.0341156170861532,0.0309839827981539,-0.0107671349115365
"Raw78",-0.00924133808783146,-0.0176530154348418,0.0720951490577147,-0.0514949367506544
"Raw79",0.087787878728905,-0.0300166299459662,0.0762491410319598,-0.00139781498004884
"Raw80",0.0528091672487714,-0.00875176132464846,0.0210076119762811,0.00718529842259384
"Raw81",0.00723506549532025,0.0159625114157018,-0.0203707931258485,-0.00384899766400332
"Raw82",0.025567033170433,-0.053089643183408,-0.0433882496497915,-0.0262091416895685
"Raw83",0.0444269479987803,0.0122125078499932,-0.0173135033769996,0.010195295173312
"Raw84",-0.0399034590274299,0.0308935946239104,0.0773744340133592,-0.0205330207122551
"Raw85",-0.0170066887497347,-0.0401505815221783,-0.0805188714551992,-0.00512633626320247
"Raw86",-0.0276020081801272,-0.0314740329521249,0.0135921312500043,-0.0222277956895096
"Raw87",-0.0469239853489025,0.0245075472230368,-0.0257599520058362,0.00713723679256467
"Raw88",-0.00550136936532851,-0.0189084270724948,0.0546788355117099,0.0245614869825819
"Raw89",0.049815496740896,0.032909704892736,-0.0369181300855168,0.024245200699633
"Raw90",0.0128199453155475,0.0187848167204307,0.00999313452910485,0.000556287079801281
"Raw91",-0.0338211045566427,-0.0304501595745215,0.00830859462767772,-0.0448406625828019
"Raw92",-0.0126847359450092,0.00380583773665049,-0.049077817664828,-0.0149492115716137
"Raw93",0.00105504450024802,0.000617049672380227,-0.0749697935081482,-0.0116345237658589
"Raw94",0.0404480772463667,0.0198540228254748,-0.0549535914539819,0.0164356400051913
"Raw95",-0.0044436302939661,0.0518810966266622,-0.020902261141085,-0.00136638884448474
"Raw96",-0.0158854265973936,-0.0678985457997572,-0.0263534822398823,-0.0395493289289394
"Raw97",-0.0447817220325648,0.0456834216412549,0.0544349645020548,0.00437330847654153
"Raw98",-0.00655322181503718,0.0551054554123919,-0.00509054942563796,-0.0543745087639873
"Raw99",-0.00761728489323546,-0.0192024765049487,0.0039381043703389,-0.0182441845221526
"Raw100",-0.0293299254966598,-0.0260627422396191,0.0343499931002533,0.00227839169956488
