"V1","V2","V3","V4","V5","V6"
"C46",0.0377964473009227,-0.0315817537577294,0,-0.0191429270777968,0,0.102726106939431
"C47",0.0377964473009227,0.0107879911510224,0.0435224816440379,0,0,0
"C48",0.0377964473009227,0.0552930865242814,-0.052941632841211,0,0,0
"C49",0.0377964473009227,-0.0137622187990066,0,-0.0439355362727834,0,-0.0503106269701613
"C50",0.0377964473009227,0.0168709851028031,0.044107817941541,0,0,0
"C51",0.0377964473009227,0.00186024737783419,0.0548580818905731,0,0,0
"C52",0.0377964473009227,0.00277546967922225,0.0475849164152312,0,0,0
"C53",0.0377964473009227,0.0651737275323162,-0.0811716405566885,0,0,0
"C54",0.0377964473009227,-0.0342684800892008,0,-0.0257538035045553,0,-0.0393662324083912
"C55",0.0377964473009227,-0.0161334835104307,0,-0.038550744224387,0,0.0476636814384406
"C56",0.0377964473009227,-0.0407825702742057,0,-0.00158250386061711,0,-0.0637606634387623
"C57",0.0377964473009227,0.00445633392237924,0.0503964415067205,0,0,0
"C58",0.0377964473009227,0.0650287224502878,-0.0999763374638374,0,0,0
"C59",0.0377964473009227,-0.0392234656137723,0,-0.00788695574043578,0,-0.0371878231643235
"C60",0.0377964473009227,0.0123232801278346,0.0460186361754239,0,0,0
"C61",0.0377964473009227,0.0443761412004535,-0.0136055736458283,0,0,0
"C62",0.0377964473009227,0.0403130079172868,-0.00307527257714719,0,0,0
"C63",0.0377964473009227,0.0563302896837533,-0.0410180134428449,0,0,0
"C64",0.0377964473009227,-0.054871368419455,0,0.0328394081360345,-0.00563006817906386,0
"C65",0.0377964473009227,-0.0616529017509147,0,0.100393779041004,-0.00631518668887292,0
"C66",0.0377964473009227,0.0175460814690063,0.0309748927187907,0,0,0
"C67",0.0377964473009227,0.0147677333542986,0.026902861964064,0,0,0
"C68",0.0377964473009227,0.0648235805021012,-0.0772384312018156,0,0,0
"C69",0.0377964473009227,-0.0354640866742763,0,-0.00316769693941501,0,0.101699976899759
"C70",0.0377964473009227,-0.0178722167650128,0,-0.0302466535335599,0,-0.0705515227962838
"C71",0.0377964473009227,0.0193578834870652,0.0523250294068763,0,0,0
"C72",0.0377964473009227,0.0127878450476939,0.0456123790346868,0,0,0
"C73",0.0377964473009227,-0.00708545681504225,0,-0.0325671026608613,0,0.0288672156273903
"C74",0.0377964473009227,0.0642010002132936,-0.10561383416183,0,0,0
"C75",0.0377964473009227,0.00815745138673406,0.0429467449211242,0,0,0
"C76",0.0377964473009227,0.0315382458358902,0.0210306388517287,0,0,0
"C77",0.0377964473009227,-0.0511834204428344,0,0.023823270277232,0.0103633118620125,0
"C78",0.0377964473009227,0.0159672416567044,0.0458363607353961,0,0,0
"C79",0.0377964473009227,-0.0295966026041719,0,-0.00716926168099463,0,0.106740937554436
"C80",0.0377964473009227,-0.0351425493093627,0,-0.0246283449259322,0,-0.0612202381214024
"C81",0.0377964473009227,-0.0638738280355978,0,0.13072425993607,-0.00189783200518939,0
"C82",0.0377964473009227,0.00952750947019451,0.0512131123072888,0,0,0
"C83",0.0377964473009227,-0.042180754833535,0,-0.0137955514196967,0,0.00115302070192983
"C84",0.0377964473009227,-0.0346851002108417,0,-0.0136727769125884,0,-0.0176535113918974
"C85",0.0377964473009227,-0.00745983549814256,0,-0.0459837961921843,0,-0.0101657359481681
"C86",0.0377964473009227,-0.0519777378004705,0,0.0225347674414984,-0.010608227038273,0
"C87",0.0377964473009227,-0.0445408524710231,0,0.0132812565910746,0.247092037539536,0
"C88",0.0377964473009227,0.0142045219112615,0.039155914023996,0,0,0
"C89",0.0377964473009227,-0.00530643568999681,0,-0.0447950947080471,0,-0.0359592102613342
"C90",0.0377964473009227,0.0609540791631828,-0.078613851766482,0,0,0
"C91",0.0377964473009227,-0.00400891366731009,0,-0.0455929304392826,0,-0.0414590439969501
"C92",0.0377964473009227,0.0530788912017436,-0.0482090639495897,0,0,0
"C93",0.0377964473009227,0.0640834611064647,-0.0835049998865363,0,0,0
"C94",0.0377964473009227,-0.0623519722800249,0,0.140391381413145,0.00167683068916422,0
"C95",0.0377964473009227,-0.0632409041723271,0,0.086471409122111,0.000922746818141569,0
"C96",0.0377964473009227,0.0597939395877344,-0.0919939110861553,0,0,0
"C97",0.0377964473009227,-0.0613147477194012,0,0.111547688346684,0.092222003225337,0
"C98",0.0377964473009227,-0.00257601918430306,0,-0.0381455957758676,0,-0.0265837536135547
"C99",0.0377964473009227,-0.0102698171306369,0,-0.0456762243106168,0,-0.0219091138585001
"C100",0.0377964473009227,-0.0526358976318803,0,0.0349403500443902,-0.0117069441325021,0
"C101",0.0377964473009227,-0.0129358550126605,0,-0.049644009617551,0,0.0549864065724063
"C102",0.0377964473009227,-0.0618742298605713,0,0.100520404080858,-0.000345192758095026,0
"C103",0.0377964473009227,0.0309101916403654,0.0266068838730468,0,0,0
"C104",0.0377964473009227,-0.0507943628688824,0,0.0120428394865977,-0.195011835938358,0
"C105",0.0377964473009227,0.0652829547797024,-0.0991183160693178,0,0,0
"C106",0.0377964473009227,0.0189372062706695,0.0453727859637844,0,0,0
"C107",0.0377964473009227,-0.0324914129279907,0,-0.00992743309685594,0,0.101346621933678
"C108",0.0377964473009227,0.00957906067648035,0.0424313120466717,0,0,0
"C109",0.0377964473009227,0.0686062298975986,-0.106121003439768,0,0,0
"C110",0.0377964473009227,0.0663842399422947,-0.0947490327499142,0,0,0
"C111",0.0377964473009227,-0.00428185371910354,0,-0.0476681848232783,0,-0.0642995026256511
"C112",0.0377964473009227,-0.00152172171215416,0,-0.0460709595146481,0,-0.00273339693720801
