"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"C95",0.0377964473009227,0.0722919063966409,-0.0670016096253274,0,0,-0.0220827718903901,0,0,0,0,0,0
"C96",0.0377964473009227,-0.0507329762463175,0,0.0831736160349728,0,0,0.0415293590473476,0,0,0,0,0
"C97",0.0377964473009227,0.0742335563549234,-0.113406337433157,0,0,0.110028208995217,0,0,0,0,0,0
"C98",0.0377964473009227,-0.00139744000695699,0,-0.0272911848765821,0,0,0,0.0111353639307726,0,0,-0.138691985986662,0
"C99",0.0377964473009227,0.00546362029107044,0.0259103290217765,0,-0.0331862941386364,0,0,0,0,-0.100686592861398,0,0
"C100",0.0377964473009227,0.0558328307321477,-0.00686380666084587,0,0,0.0241281801001297,0,0,0,0,0,0
"C101",0.0377964473009227,0.00715084800922502,0.0669311811457138,0,0.0428342936422396,0,0,0,0,0,0,0
"C102",0.0377964473009227,0.0722797439009632,-0.0640609193037297,0,0,-0.00159766733253845,0,0,0,0,0,0
"C103",0.0377964473009227,-0.0324081327243106,0,0.00948421955038397,0,0,-0.0601085919850605,0,0,0,0,0
"C104",0.0377964473009227,0.0511695033713216,0.0291896575557973,0,0.054994268321126,0,0,0,0,0,0,0
"C105",0.0377964473009227,-0.0551573289096435,0,0.101015728560601,0,0,-0.0274445757792591,0,0,0,0,0
"C106",0.0377964473009227,-0.0225745717839526,0,-0.0141401446798734,0,0,0,-0.103098454418784,0,0,0,0
"C107",0.0377964473009227,0.0294923800421368,0.086391857070162,0,0.00918449173785416,0,0,0,0,0,0,0
"C108",0.0377964473009227,-0.0134867425248713,0,-0.0177412945190773,0,0,0,0.141068521230305,0,0,-0.0242712024608021,0
"C109",0.0377964473009227,-0.0588900619874002,0,0.0630818809393845,0,0,0.10910616978497,0,0,0,0,0
"C110",0.0377964473009227,-0.0571585967118309,0,0.0766604951509451,0,0,-0.0100635691525819,0,0,0,0,0
"C111",0.0377964473009227,-0.000842279008925277,0,-0.0269471388309577,0,0,0,0.139167900908349,0,0,0.106734375012877,0
"C112",0.0377964473009227,-0.00439296660356024,0,-0.0811659532165053,0,0,0,0.0299298090874089,0,0,-0.119733727649498,0
"C113",0.0377964473009227,-0.0392129700030481,0,0.0616389466838062,0,0,-0.0031729078147605,0,0,0,0,0
"C114",0.0377964473009227,-0.0458720425983852,0,0.0293462932681697,0,0,0.100659392886073,0,0,0,0,0
"C115",0.0377964473009227,-0.0484869514013503,0,0.0652318062340938,0,0,0.14796304575099,0,0,0,0,0
"C116",0.0377964473009227,0.0283155051778853,0.0168446226141968,0,0.020502814521574,0,0,0,0,0,0,0
