"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row47",0.0379049021789452,-0.0172073341032262,0,-0.0869616692678964,0,0,0,0.0949998383078517,0,0,0,0,0,0,0.105867057147212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row48",0.0379049021789452,-0.0178024729590584,0,-0.0864824583437472,0,0,0,0.0942200722746562,0,0,0,0,0,0,0.110052848422299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row49",0.0379049021789452,-0.0178180841093486,0,-0.0868193103580254,0,0,0,0.0979268735024673,0,0,0,0,0,0,0.111985525698211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row50",0.0379049021789452,-0.0181845671320491,0,-0.085343980138051,0,0,0,0.0958692219187967,0,0,0,0,0,0,0.119626519586756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row51",0.0379049021789452,-0.0184966491786682,0,-0.082235759382567,0,0,0,0.0913285192947355,0,0,0,0,0,0,0.125731679763189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row52",0.0379049021789452,-0.0193619137184942,0,-0.0807014497513374,0,0,0,0.0851532101333415,0,0,0,0,0,0,0.130474771982539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row53",0.0379049021789452,-0.0198691292520731,0,-0.0764692233914375,0,0,0,0.0762710304347843,0,0,0,0,0,0,0.137150441012211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row54",0.0379049021789452,-0.0201514009028293,0,-0.0750649221504199,0,0,0,0.0735540252794731,0,0,0,0,0,0,0.137939821634299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row55",0.0379049021789452,-0.0201380960981947,0,-0.074868718625079,0,0,0,0.0738799336006636,0,0,0,0,0,0,0.138488106879339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row56",0.0379049021789452,-0.0203790467212414,0,-0.0741860867838748,0,0,0,0.0714160807990285,0,0,0,0,0,0,0.140816225058088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row57",0.0379049021789452,-0.0210979774422436,0,-0.0692869369820491,0,0,0,0.0539314732522589,0,0,0,0,0,0,0.142078658092923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row58",0.0379049021789452,-0.0212172604906867,0,-0.0697465988671567,0,0,0,0.0543268710175539,0,0,0,0,0,0,0.142297226113512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row59",0.0379049021789452,-0.0212518042106924,0,-0.0695739030397718,0,0,0,0.0539731197185769,0,0,0,0,0,0,0.143325224914622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row60",0.0379049021789452,-0.0212717949233026,0,-0.0694132862332515,0,0,0,0.0534005800459088,0,0,0,0,0,0,0.143585082241689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row61",0.0379049021789452,-0.0212349565922184,0,-0.0696892951166331,0,0,0,0.0545003755435385,0,0,0,0,0,0,0.143183827517938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row62",0.0379049021789452,-0.0212358428830652,0,-0.0696704254491034,0,0,0,0.0545657157626252,0,0,0,0,0,0,0.143328972847798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
