"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row39",0.0379049021789452,-0.0162881773412505,0,0.00900697530834962,0,0,0.101329117255625,0,0,0,0,0,-0.0580135721851222,0,0,0,0,0,0,0,0,0,0,0,0,0.153316581129061,0,0,0,0
"Row40",0.0379049021789452,-0.0164539246277995,0,0.00905395051769995,0,0,0.101712706290638,0,0,0,0,0,-0.0533731934467297,0,0,0,0,0,0,0,0,0,0,0,0,0.163135577033948,0,0,0,0
"Row41",0.0379049021789452,-0.0166614571251217,0,0.0091500954750595,0,0,0.102611569178237,0,0,0,0,0,-0.0520341124426993,0,0,0,0,0,0,0,0,0,0,0,0,0.165726436051334,0,0,0,0
"Row42",0.0379049021789452,-0.0171154672602073,0,0.00994893841855892,0,0,0.102707088785303,0,0,0,0,0,-0.0438419390668768,0,0,0,0,0,0,0,0,0,0,0,0,0.167318869082066,0,0,0,0
"Row43",0.0379049021789452,-0.0170596553363304,0,0.0103206327589086,0,0,0.102538697920899,0,0,0,0,0,-0.0435258509629662,0,0,0,0,0,0,0,0,0,0,0,0,0.166608614088944,0,0,0,0
"Row44",0.0379049021789452,-0.0173038385085094,0,0.0104168471961423,0,0,0.103491038640117,0,0,0,0,0,-0.0423807299701709,0,0,0,0,0,0,0,0,0,0,0,0,0.166841286871358,0,0,0,0
"Row45",0.0379049021789452,-0.0176000489420598,0,0.0110421075895573,0,0,0.103931323742602,0,0,0,0,0,-0.0387103797923469,0,0,0,0,0,0,0,0,0,0,0,0,0.165327482276404,0,0,0,0
"Row46",0.0379049021789452,-0.017610388148282,0,0.0108652773626625,0,0,0.104292643901399,0,0,0,0,0,-0.0369325011895352,0,0,0,0,0,0,0,0,0,0,0,0,0.164731942867404,0,0,0,0
"Row47",0.0379049021789452,-0.0178073672063105,0,0.0114472546430663,0,0,0.103561353432207,0,0,0,0,0,-0.0334188612497481,0,0,0,0,0,0,0,0,0,0,0,0,0.165190819043752,0,0,0,0
"Row48",0.0379049021789452,-0.0184069389897343,0,0.0113360941606016,0,0,0.103828169469371,0,0,0,0,0,-0.0289418150323487,0,0,0,0,0,0,0,0,0,0,0,0,0.159164161167793,0,0,0,0
"Row49",0.0379049021789452,-0.0184216215894598,0,0.0105262095457824,0,0,0.10419331110041,0,0,0,0,0,-0.0273137501119332,0,0,0,0,0,0,0,0,0,0,0,0,0.156300393684898,0,0,0,0
"Row50",0.0379049021789452,-0.0187791970138488,0,0.0102239266294051,0,0,0.104252331939433,0,0,0,0,0,-0.0201393335063562,0,0,0,0,0,0,0,0,0,0,0,0,0.156140499743954,0,0,0,0
"Row51",0.0379049021789452,-0.0190612938579979,0,0.00992882025591248,0,0,0.102648675999246,0,0,0,0,0,-0.01535222043131,0,0,0,0,0,0,0,0,0,0,0,0,0.152745571518602,0,0,0,0
"Row52",0.0379049021789452,-0.0199210006570226,0,0.0107308536098746,0,0,0.102051498268511,0,0,0,0,0,-0.00769486152619333,0,0,0,0,0,0,0,0,0,0,0,0,0.138411236585208,0,0,0,0
"Row53",0.0379049021789452,-0.0203980844448688,0,0.0110574910559945,0,0,0.0994892053592078,0,0,0,0,0,-0.000982642589829154,0,0,0,0,0,0,0,0,0,0,0,0,0.125379752399455,0,0,0,0
"Row54",0.0379049021789452,-0.0206756076958153,0,0.0110564978247712,0,0,0.0983552092932139,0,0,0,0,0,0.00163007102044371,0,0,0,0,0,0,0,0,0,0,0,0.105773097444981,0,0,0,0,0
"Row55",0.0379049021789452,-0.020660638994606,0,0.0108804473840486,0,0,0.0983044597287602,0,0,0,0,0,0.00181894597518033,0,0,0,0,0,0,0,0,0,0,0,0.106460617706823,0,0,0,0,0
"Row56",0.0379049021789452,-0.020895019908925,0,0.0111024154563813,0,0,0.09817830765621,0,0,0,0,0,0.00477499510727608,0,0,0,0,0,0,0,0,0,0,0,0.107820412991808,0,0,0,0,0
"Row57",0.0379049021789452,-0.0215947301419913,0,0.0133761270482624,0,0,0.0935768234790618,0,0,0,0,0,0.0147109504300691,0,0,0,0,0,0,0,0,0,0,0,0.138141969236536,0,0,0,0,0
"Row58",0.0379049021789452,-0.0217204921712122,0,0.0134657025544886,0,0,0.0940006756722744,0,0,0,0,0,0.015002360542109,0,0,0,0,0,0,0,0,0,0,0,0.137644962597974,0,0,0,0,0
"Row59",0.0379049021789452,-0.0217520525011283,0,0.0134454826453561,0,0,0.0940864946076594,0,0,0,0,0,0.0153740899882207,0,0,0,0,0,0,0,0,0,0,0,0.138676164458128,0,0,0,0,0
"Row60",0.0379049021789452,-0.0217712055865159,0,0.0135030429965719,0,0,0.0939757930300767,0,0,0,0,0,0.0160751625909246,0,0,0,0,0,0,0,0,0,0,0,0.139003925606139,0,0,0,0,0
"Row61",0.0379049021789452,-0.0217370003016001,0,0.013353126260777,0,0,0.0941450839100718,0,0,0,0,0,0.0154313312426533,0,0,0,0,0,0,0,0,0,0,0,0.138990497374462,0,0,0,0,0
"Row62",0.0379049021789452,-0.0217374954965233,0,0.0133306528189024,0,0,0.0941523351589519,0,0,0,0,0,0.0154359679446947,0,0,0,0,0,0,0,0,0,0,0,0.139264289604531,0,0,0,0,0
"Row63",0.0379049021789452,-0.0220573599195194,0,0.013294928519726,0,0,0.0938782904900137,0,0,0,0,0,0.0168133630408329,0,0,0,0,0,0,0,0,0,0,0,0.142304776201518,0,0,0,0,0
"Row64",0.0379049021789452,-0.0224115563767329,0,0.0132150538392793,0,0,0.0938068292409849,0,0,0,0,0,0.0182772185911685,0,0,0,0,0,0,0,0,0,0,0,0.146567097885901,0,0,0,0,0
"Row65",0.0379049021789452,-0.0223816478694492,0,0.0126661423313932,0,0,0.0931125296140982,0,0,0,0,0,0.0211034492701438,0,0,0,0,0,0,0,0,0,0,0,0.147087186647007,0,0,0,0,0
"Row66",0.0379049021789452,-0.0226741157943005,0,0.0130211611209624,0,0,0.0913601149470471,0,0,0,0,0,0.022683375198708,0,0,0,0,0,0,0,0,0,0,0,0.148095947495498,0,0,0,0,0
"Row67",0.0379049021789452,-0.0229889870810338,0,0.0128847051311119,0,0,0.0892772381105082,0,0,0,0,0,0.0293037714694818,0,0,0,0,0,0,0,0,0,0,0,0.14896655148859,0,0,0,0,0
"Row68",0.0379049021789452,-0.0229556841962773,0,0.0128931377083098,0,0,0.0893504987792075,0,0,0,0,0,0.0301109138423235,0,0,0,0,0,0,0,0,0,0,0,0.150166250745367,0,0,0,0,0
"Row69",0.0379049021789452,-0.0230183113514235,0,0.0129178888532918,0,0,0.0896112447004742,0,0,0,0,0,0.0330032070596469,0,0,0,0,0,0,0,0,0,0,0,0.152418253243936,0,0,0,0,0
"Row70",0.0379049021789452,-0.0228490282405849,0,0.0127724694356571,0,0,0.0892342048651207,0,0,0,0,0,0.0351426922823625,0,0,0,0,0,0,0,0,0,0,0,0.15132625660997,0,0,0,0,0
"Row71",0.0379049021789452,-0.0228215686010415,0,0.0130246910014827,0,0,0.0887328243174338,0,0,0,0,0,0.0373281139597323,0,0,0,0,0,0,0,0,0,0,0,0.153572569949061,0,0,0,0,0
"Row72",0.0379049021789452,-0.0230555965836856,0,0.0123103130858404,0,0,0.0874662091715207,0,0,0,0,0,0.0435822650790413,0,0,0,0,0,0,0,0,0,0,0,0.154826306477019,0,0,0,0,0
"Row73",0.0379049021789452,-0.0230556412178527,0,0.0122938234310901,0,0,0.0875128686808537,0,0,0,0,0,0.0444410873094639,0,0,0,0,0,0,0,0,0,0,0,0.153362113077853,0,0,0,0,0
"Row74",0.0379049021789452,-0.0231523597596974,0,0.0123080829450273,0,0,0.0839990903357116,0,0,0,0,0,0.0493803606077629,0,0,0,0,0,0,0,0,0,0,0,0.146316930323175,0,0,0,0,0
"Row75",0.0379049021789452,-0.0232886098460512,0,0.0124645096622865,0,0,0.0834929894409486,0,0,0,0,0,0.0491841265737432,0,0,0,0,0,0,0,0,0,0,0,0.146501561223051,0,0,0,0,0
"Row76",0.0379049021789452,-0.0244752162229333,0,0.0119658970360305,0,0,0.078270279447429,0,0,0,0,0,0.071397073933914,0,0,0,0,0,0,0,0,0,0,0,0.139155033972818,0,0,0,0,0
"Row77",0.0379049021789452,-0.0254873938675966,0,0.0109555999473809,0,0,0.0742849226877038,0,0,0,0,0,0.0829315053420831,0,0,0,0,0,0,0,0,0,0,0,0.130426070284936,0,0,0,0,0
"Row78",0.0379049021789452,-0.0257895613797683,0,0.0105275615518159,0,0,0.0726301154332881,0,0,0,0,0,0.082310709899808,0,0,0,0,0,0,0,0,0,0,0,0.123798894638505,0,0,0,0,0
"Row79",0.0379049021789452,-0.02639660128575,0,0.00973238069431143,0,0,0.0722233432908386,0,0,0,0,0,0.0851611424065084,0,0,0,0,0,0,0,0,0,0,0,0.112357537263965,0,0,0,0,0
"Row80",0.0379049021789452,-0.0264135808350697,0,0.00951563235644356,0,0,0.0717663507708533,0,0,0,0,0,0.0849609650953319,0,0,0,0,0,0,0,0,0,0,0,0.111707810171877,0,0,0,0,0
"Row81",0.0379049021789452,-0.0271301018878959,0,0.00926758025733026,0,0,0.0705561249947942,0,0,0,0,0,0.0873856325250106,0,0,0,0,0,0,0,0,0,0,0,0.105375967599679,0,0,0,0,0
"Row82",0.0379049021789452,-0.0278785988873757,0,0.010866982507998,0,0,0.0667666815531226,0,0,0,0,0,0.0888130659271529,0,0,0,0,0,0,0,0,0,0,0,0.0852864034744318,0,0,0,0,0
"Row83",0.0379049021789452,-0.0284951916565371,0,0.00946513585147906,0,0,0.0647475865591068,0,0,0,0,0,0.0942342633821909,0,0,0,0,0,0,0,0,0,0,0,0.0743863988414793,0,0,0,0,0
"Row84",0.0379049021789452,-0.0293078322953775,0,0.00888503188083004,0,0,0.0625525365224962,0,0,0,0,0,0.101656566312583,0,0,0,0,0,0,0,0,0,0,0,0.0625545842876631,0,0,0,0,0
"Row85",0.0379049021789452,-0.0298692532241877,0,0.00810406987669244,0,0,0.0609544208539867,0,0,0,0,0,0.109909972181034,0,0,0,0,0,0,0,0,0,0,0,0.0553466619977146,0,0,0,0,0
"Row86",0.0379049021789452,-0.0297952612813089,0,0.00815070354432184,0,0,0.0607628035800386,0,0,0,0,0,0.109865734329509,0,0,0,0,0,0,0,0,0,0,0,0.0552315385905715,0,0,0,0,0
"Row87",0.0379049021789452,-0.0298730863582082,0,0.00813069640230374,0,0,0.0608840557204633,0,0,0,0,0,0.109750003418443,0,0,0,0,0,0,0,0,0,0,0,0.0545460112320753,0,0,0,0,0
"Row88",0.0379049021789452,-0.0299190517947629,0,0.0082177055297509,0,0,0.0602889747775907,0,0,0,0,0,0.110960625649703,0,0,0,0,0,0,0,0,0,0,0,0.0455857293882475,0,0,0,0,0
"Row89",0.0379049021789452,-0.0300063371448674,0,0.00773972874875348,0,0,0.0597412433469055,0,0,0,0,0,0.111889348590152,0,0,0,0,0,0,0,0,0,0,0,0.0409532615019669,0,0,0,0,0
"Row90",0.0379049021789452,-0.0301025120307986,0,0.00764490974995451,0,0,0.0592512350558329,0,0,0,0,0,0.112812623717136,0,0,0,0,0,0,0,0,0,0,0,0.0415036380999751,0,0,0,0,0
"Row91",0.0379049021789452,-0.0313668351000633,0,0.00799734625123822,0,0,0.0543120873460083,0,0,0,0,0,0.117073051115498,0,0,0,0,0,0,0,0,0,0,0,0.0136144240097452,0,0,0,0,0
"Row92",0.0379049021789452,-0.0317852567266694,0,0.00792181784357375,0,0,0.0525587681019877,0,0,0,0,0,0.118006995725422,0,0,0,0,0,0,0,0,0,0,0,0.00554293300524038,0,0,0,0,0
"Row93",0.0379049021789452,-0.0322298669635982,0,0.00769421967842613,0,0,0.0510144766407024,0,0,0,0,0,0.116855449325337,0,0,0,0,0,0,0,0,0,0,0,-0.00715787790283235,0,0,0,0,0
"Row94",0.0379049021789452,-0.0324274528396504,0,0.0081150287775392,0,0,0.0489773450745693,0,0,0,0,0,0.121721776666786,0,0,0,0,0,0,0,0,0,0,0,-0.0264998301868498,0,0,0,0,0
"Row95",0.0379049021789452,-0.0327883991867564,0,0.00838969872668462,0,0,0.0481369747731877,0,0,0,0,0,0.121187941605163,0,0,0,0,0,0,0,0,0,0,0,-0.0365434782729504,0,0,0,0,0
"Row96",0.0379049021789452,-0.0328142872115444,0,0.00808907619886166,0,0,0.0475898231430603,0,0,0,0,0,0.122402329767245,0,0,0,0,0,0,0,0,0,0,0,-0.0378945745994149,0,0,0,0,0
"Row97",0.0379049021789452,-0.0328602097029542,0,0.00807781794376209,0,0,0.0479055077680563,0,0,0,0,0,0.122320880526017,0,0,0,0,0,0,0,0,0,0,0,-0.0379273825553217,0,0,0,0,0
"Row98",0.0379049021789452,-0.0337750316293411,0,0.00796605128238327,0,0,0.0440721570226685,0,0,0,0,0,0.121052696280383,0,0,0,0,0,0,0,0,0,0,0,-0.0540594524673185,0,0,0,0,0
"Row99",0.0379049021789452,-0.0339142157582158,0,0.00840124800729941,0,0,0.0436252858404263,0,0,0,0,0,0.121592947619621,0,0,0,0,0,0,0,0,0,0,0,-0.0552692267432202,0,0,0,0,0
"Row100",0.0379049021789452,-0.0340033907096762,0,0.00789118390800605,0,0,0.0434061836188505,0,0,0,0,0,0.120388601604739,0,0,0,0,0,0,0,0,0,0,0,-0.054426594773317,0,0,0,0,0
"Row101",0.0379049021789452,-0.0340276586086185,0,0.00789305997330736,0,0,0.043442579418072,0,0,0,0,0,0.120409344991348,0,0,0,0,0,0,0,0,0,0,0,-0.0542000415473956,0,0,0,0,0
"Row102",0.0379049021789452,-0.0338029947597567,0,0.00827201039067699,0,0,0.0403653170967138,0,0,0,0,0,0.115985450765267,0,0,0,0,0,0,0,0,0,0,0,-0.06702469068044,0,0,0,0,0
"Row103",0.0379049021789452,-0.0341160874260298,0,0.00840062355275205,0,0,0.0402334739406164,0,0,0,0,0,0.117214941177129,0,0,0,0,0,0,0,0,0,0,0,-0.0694747153755402,0,0,0,0,0
"Row104",0.0379049021789452,-0.0341983931179665,0,0.00833240230570828,0,0,0.0383415860157745,0,0,0,0,0,0.116067579155403,0,0,0,0,0,0,0,0,0,0,0,-0.0740506428802689,0,0,0,0,0
"Row105",0.0379049021789452,-0.0341444228957173,0,0.0081974616700035,0,0,0.036840022331641,0,0,0,0,0,0.115980107760506,0,0,0,0,0,0,0,0,0,0,0,-0.0773569626886993,0,0,0,0,0
"Row106",0.0379049021789452,-0.0347605371868761,0,0.00860042413428555,0,0,0.0330321161650082,0,0,0,0,0,0.111739151444318,0,0,0,0,0,0,0,0,0,0,0,-0.0838327680850547,0,0,0,0,0
"Row107",0.0379049021789452,-0.0347848418903727,0,0.00827824022254912,0,0,0.0323799986092105,0,0,0,0,0,0.110741432843121,0,0,0,0,0,0,0,0,0,0,0,-0.0864834404910944,0,0,0,0,0
"Row108",0.0379049021789452,-0.0347836230386929,0,0.00798117835463707,0,0,0.0304295697115391,0,0,0,0,0,0.108237265691136,0,0,0,0,0,0,0,0,0,0,0,-0.0894820787179371,0,0,0,0,0
"Row109",0.0379049021789452,-0.0363357079275446,0,0.00622619618097536,0,0,0.0266512743828293,0,0,0,0,0,0.109032489257376,0,0,0,0,0,0,0,0,0,0,0,-0.103583017662593,0,0,0,0,0
"Row110",0.0379049021789452,-0.0362896484887975,0,0.0061589334181057,0,0,0.0268646016159181,0,0,0,0,0,0.108708119034485,0,0,0,0,0,0,0,0,0,0,0,-0.103803593885846,0,0,0,0,0
"Row111",0.0379049021789452,-0.0363533309727798,0,0.00607682938806989,0,0,0.0262605590990663,0,0,0,0,0,0.109014619017871,0,0,0,0,0,0,0,0,0,0,0,-0.103858931051452,0,0,0,0,0
"Row112",0.0379049021789452,-0.0362189828423448,0,0.00602621820638507,0,0,0.0261215402117163,0,0,0,0,0,0.107625323106378,0,0,0,0,0,0,0,0,0,0,0,-0.105692012406619,0,0,0,0,0
"Row113",0.0379049021789452,-0.0363372384705352,0,0.0056224191631345,0,0,0.0250318009831526,0,0,0,0,0,0.106371725768242,0,0,0,0,0,0,0,0,0,0,0,-0.106771992286408,0,0,0,0,0
"Row114",0.0379049021789452,-0.0368535568413278,0,0.00512381252044968,0,0,0.0205503152784823,0,0,0,0,0,0.0986080628234284,0,0,0,0,0,0,0,0,0,0,0,-0.134639746387009,0,0,0,0,0
"Row115",0.0379049021789452,-0.0368077054178657,0,0.00439024452690668,0,0,0.0195368283382807,0,0,0,0,0,0.0977098040625786,0,0,0,0,0,0,0,0,0,0,0,-0.133591170948811,0,0,0,0,0
"Row116",0.0379049021789452,0.00126194272384681,0.00128143354931172,0,0.102016330258298,0,0,0,-0.120512035303735,0,0,0,0,0,0,0,0,0.185892785510592,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.0379049021789452,0.00160164879360616,0.00116315773437595,0,0.103629934896657,0,0,0,-0.12071673051458,0,0,0,0,0,0,0,0,0.180478905752212,0,0,0,0,0,0,0,0,0,0,0,0
"Row118",0.0379049021789452,0.00154977813852038,0.000855307474506113,0,0.103365600613789,0,0,0,-0.118720287063132,0,0,0,0,0,0,0,0,0.17714493296393,0,0,0,0,0,0,0,0,0,0,0,0
"Row119",0.0379049021789452,0.00154707411222881,0.00105060437473389,0,0.103101655314112,0,0,0,-0.118934449713792,0,0,0,0,0,0,0,0,0.172663885192102,0,0,0,0,0,0,0,0,0,0,0,0
"Row120",0.0379049021789452,0.00163686548317009,0.0011102224346829,0,0.102820028626981,0,0,0,-0.118870003464093,0,0,0,0,0,0,0,0,0.170665691349704,0,0,0,0,0,0,0,0,0,0,0,0
"Row121",0.0379049021789452,0.00260845504883872,0.000654061833672287,0,0.103210315771818,0,0,0,-0.118168269315781,0,0,0,0,0,0,0,0,0.155176016199322,0,0,0,0,0,0,0,0,0,0,0,0
"Row122",0.0379049021789452,0.00375349628496235,0.00022919341246285,0,0.107503501100982,0,0,0,-0.114106015259603,0,0,0,0,0,0,0,0,0.117682119950637,0,0,0,0,0,0,0,0,0,0,0,0
"Row123",0.0379049021789452,0.00423372411745066,0.000256734121308097,0,0.107874609836829,0,0,0,-0.115350005622975,0,0,0,0,0,0,0,0,0.102815138750711,0,0,0,0,0,0,0,0,0,0,0,0
"Row124",0.0379049021789452,0.00476879534610281,0.000572492446306478,0,0.108642839649481,0,0,0,-0.117929811831687,0,0,0,0,0,0,0,0,0.0651925786014008,0,0,0,0,0,0,0,0,0,0,0,0
"Row125",0.0379049021789452,0.00491586619129179,0.000587049649276695,0,0.108680054283946,0,0,0,-0.116721866022644,0,0,0,0,0,0,0,0,0.0461494806957483,0,0,0,0,0,0,0,0,0,0,0,0
"Row126",0.0379049021789452,0.00509797718499243,0.000505875679340383,0,0.108617478709044,0,0,0,-0.117269107403272,0,0,0,0,0,0,0,0,0.0430795121003294,0,0,0,0,0,0,0,0,0,0,0,0
"Row127",0.0379049021789452,0.00519839813313819,0.000628858831242904,0,0.108414648469652,0,0,0,-0.117440096284433,0,0,0,0,0,0,0,0,0.0384087546051179,0,0,0,0,0,0,0,0,0,0,0,0
