"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Raw11",-0.0482496055844099,0.0112025347317508,-0.00574839754934462,0.0066248287816543,0.00096944892207711,-0.0282782612017715,0.015493404413243,-0.00135213944720153,0.000252872631153252,-0.00798359082484389,-0.0917947843539046,-0.0454090030661981,0.0356457417501583,0.0256843697718147,0.02236235954437,0.0310568422198465,-0.0111153094684511,-0.0627580041547038,0.106481224823597,-0.003469868618994,-0.0252258871451384,0.0779087243422646,-0.0264229356046171,0.0107119725654239,0.0208106499791325,-0.00855574773131028
"Raw12",-0.0153571165425242,-0.0258751412699945,0.0139028301209427,0.0233028202507031,-0.041194859856309,0.0181453353213877,-0.0653095835082097,0.0402114553188872,-0.0363193154721192,0.0171822025703978,-0.0316423947625492,0.0495077186141345,-0.0332462203745031,0.0679549528743607,-0.051086591495831,-0.0271339329875868,0.051874138173164,0.0101278852498757,-0.0210438155776293,-0.0294844788242634,0.0228374694537004,0.00904823655382732,-0.0957513109498717,0.085202451324684,0.0515767894417246,-0.00209297089817208
"Raw13",-0.133892848729534,-0.0969715891140363,0.0841747182657692,-0.0282219804226259,0.0329298146111791,0.0216546029655379,-0.0261013497141482,-0.122525232110702,0.099492719102643,-0.00579146373314694,-0.0734435719546443,-0.0117410708772342,0.0124905164635062,0.00620135755808465,0.00633379884104032,0.0529558130373343,-0.07392236350538,0.0232141120562987,0.0390978088293755,-0.0472819076377677,0.0448282127277134,0.04263710298041,-0.0678043006050638,0.0591180591675939,0.0235391879005506,-0.0218616198448819
"Raw14",-0.0312553891379236,-0.0462560825664169,0.106171147445023,-0.076155000276719,0.00270194868015111,-0.0819468674040929,0.114874334564822,-0.0533968579976787,0.0242929263758573,0.0847688240027402,-0.053062624295904,-0.0267034707602788,-0.0117809258676875,0.00430814635395413,0.004639520815491,0.0412731535525381,-0.0644845706797324,0.0129414369726435,-0.0769469098055377,0.0245571814451568,0.0039054906632577,-0.0409507323990912,-0.0131652016256651,-0.00715031286940334,-0.022711842875104,0.00374532047668891
"Raw15",-0.0449777283656007,-0.00338383782826903,-0.0311928310539026,0.0614251365152896,-0.0651191126658756,0.00968484823122318,-0.024399076266134,0.000462901608965544,-0.0329264555932415,-0.0141033748046084,-0.0487343710239825,-0.0724125542230728,0.0918991240876039,0.0058595887575382,-0.0788014713357294,0.0405265329305484,-0.0584834742984307,0.0350646977425897,-0.000593519859397176,0.0393827055338646,-0.0201916358634259,0.00350017167021335,0.0147838431447035,0.0115278771408433,0.0174603600099713,-0.0142276525471554
"Raw16",-0.0414924892264233,0.00182252739907391,-0.00221733738983304,0.0140524087665061,-0.0464020619235878,-0.0203385973739107,0.0219136596480312,-0.0291778944014532,0.0428792578901976,0.0344926289376198,-0.0497140825235464,0.0268654174994763,-0.0189110014161887,-0.0141164765619805,0.00271114894286306,-0.0107056424763024,-0.0017467126823885,-0.00356942668559428,0.0036443143343932,0.0205101376617599,-0.0129702412780363,-0.0291331823291688,0.0524942429918984,-0.0540363770471389,0.00892243130205217,-0.0266205489507793
"Raw17",-0.0323903252452577,-0.0199836537860649,0.0248530306698639,-0.0741906971781016,0.0497159385323506,0.0473725943231853,-0.022548866269555,-0.00395034264914422,0.010346988411647,0.0449891859697021,-0.0286802787602105,-0.032371434169365,0.0264450211966309,-0.0342703495014847,0.00308824362760739,-0.0668082104202643,0.0929330496255437,0.0646399446160856,-0.0217578232028035,-0.0010726082313337,-0.0162495863768636,-0.047241373869829,0.00935244850599463,0.0315612765548206,-0.0200696334215615,0.0108881181416422
"Raw18",0.0128625381139927,0.0183226238943217,0.0208778522502841,-0.0961638740450334,0.0816650012289343,-0.00568737835745435,0.0338052769761645,-0.0324872937002454,0.029263839217518,0.0476892573454183,0.0250240288761873,0.0148038119303247,-0.0290153141755979,-0.0110233734287378,0.0349888561599629,-0.00551992403160702,-0.0515691410005465,0.0592061053429489,-0.0187525106093891,0.0329454728260241,-0.00846782261461684,-0.00324789141868679,-0.0614863463049923,0.0261215978871483,-0.000885949573729808,0.0169434556993759
"Raw19",0.0151363912475212,-0.0680673532331618,0.0491589659087563,0.0214839499674211,-0.059791681230745,0.0454046121994203,-0.0265646327148831,-0.0241685203495597,0.00852436182965242,0.0256166270409987,-0.034943442997635,0.0431355966132892,-0.0212412455141793,-0.00903888569476937,-0.0347569803051791,-0.065452578661099,0.055094706644291,-0.00206183904457407,-0.0348863643491484,0.0310355435996327,-0.0569952579723831,0.0110729593579554,-0.0212570030013914,0.0462543025555346,0.00470590444633168,-0.0115196641676211
"Raw20",-0.0471226242705543,-0.000574810034020477,0.00976415563057204,0.0601245775844495,-0.00442736147217002,-0.088224843689362,0.0564869440759404,-0.0745744602256657,0.0791951791972594,-0.0546116056089972,-0.0162953243404019,0.0265068799730623,-0.0487886845044694,0.0387369947228664,0.0506650906350924,0.032087607626526,-0.0522730987138108,-0.0339703238918145,0.0967074846631037,-0.0281289370920577,-0.0124714353400983,0.0906984397906523,0.0094603789301292,-0.0572556491451684,0.0253118089666423,-0.017213461358478
