"V1","V2"
"Raw88",-0.0189375016672569,0.00104052478128144
"Raw89",0.0535710199561773,0.016973482311997
"Raw90",0.0267757055010103,0.0161818059145596
"Raw91",-0.0342385552874303,-0.00328648110684272
"Raw92",-0.0047027838956566,-0.0286030592770484
"Raw93",0.00574432239924164,-0.0195873980284897
"Raw94",0.0271688731791212,0.012488583427837
"Raw95",-0.0135389221875686,0.0538218971569466
"Raw96",0.0103961483278652,-0.061104257428167
"Raw97",-0.0179875908267638,0.0468721901871657
"Raw98",-0.0175904031315914,0.0372045304237137
"Raw99",-0.00619718907757598,-0.01721392109987
"Raw100",-0.0209134969573401,-0.0220022698364114
"Raw101",0.00606575008019312,0.0316499226313161
"Raw102",0.0483324617189993,0.00584328476584996
"Raw103",0.00858837271935436,0.0297000758885275
"Raw104",-0.0634412626681407,-0.00655845326737353
"Raw105",0.00381016855011498,0.0095916857492233
"Raw106",0.105110324650027,-0.0298656622172863
"Raw107",-0.0374980833242225,-0.0903704024771677
"Raw108",-0.0341479587564757,-0.0120368067362752
"Raw109",0.0456990804083337,0.00224075260077876
"Raw110",-0.0988113156784016,-0.0510749474684226
"Raw111",-0.0211062856577232,0.0572722754126802
"Raw112",0.0164175365889574,0.0302927835258522
"Raw113",-0.0286679448200847,0.0085229141412647
"Raw114",-0.0110710012048859,0.00280509924897523
"Raw115",-0.0695087481322389,-0.0341989470870321
"Raw116",-0.0044293674229523,-0.0121339460609444
"Raw117",-0.103760186574078,0.00818419524875635
"Raw118",-0.0103108964857004,0.0129221491353111
"Raw119",0.0316325896777815,0.0101818438261612
"Raw120",-0.0112489620186077,0.0410399382834565
"Raw121",-0.0184306812721656,0.0144978303622886
"Raw122",0.0527045155153017,0.021607288185656
"Raw123",0.0819620887298969,0.0295834505050987
"Raw124",-0.0174135817307013,-0.0466656561034543
"Raw125",-0.0148342991817292,0.0531980621190319
"Raw126",0.0391867892710331,0.0403147246816526
"Raw127",0.0170153768478463,0.00775457854905394
"Raw128",-0.028141140137085,-0.00175770771085209
"Raw129",0.0704096686738243,0.00798439467547828
"Raw130",0.0136794498753178,0.0103506941423456
"Raw131",-0.07346263220264,0.0100915136502338
"Raw132",-0.0194068335736122,-0.0362612773922391
