"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Raw15",-0.0450493594766154,0.00245443208843914,-0.029474598936098,0.0644628718340123,-0.0687147994749524,0.013312355203194,-0.0302482924149295,0.0137555275381547,-0.0411630650289463,-0.0306046218529455,-0.0649335588446749,0.0892734884552995,0.000392921734135362,-0.0148096215589929,0.0233276338856971,-0.0570189353425404,0.0388357955419723,-0.0107588577675323,0.0388957036994789,-0.0248675059870216,-0.000903952155366714,0.0343981554670365,0.0409782381592854,-0.0164364019156452,0.0330764048733522,-0.0320963564547518,0.0793988633069468,0.00852431679712017,-0.0142733025000661
"Raw16",-0.0376650308255038,0.00094283035034487,-0.00459670205998971,0.0234858214157757,-0.049556133377349,-0.0159325331408065,0.0154215885600869,-0.0290497845983087,0.0355755845558688,0.0148690238976286,0.0252840779584092,-0.0208330691297245,-0.0132491240947906,-0.0364706499933166,-0.00222070271010748,0.00380391020561101,-0.0294551871738838,0.0065428010585941,-0.00273611550036758,0.0051302701979853,0.0456809850388863,-0.0324944250804615,0.0510124814871097,-0.0429182477043923,0.01184984754053,-0.0138006561988529,0.00750427647566833,0.000899860260489082,0.000559825949752382
"Raw17",-0.0335708551188813,-0.0276670899437929,0.022198221922916,-0.0678820709818699,0.0387853635585123,0.0507643150449356,-0.0252585599348483,0.00117228597863699,0.00306077141745336,0.0438565265995099,-0.0370458717827744,0.0295085365779981,-0.0389513326175346,0.0627947730900528,-0.0557381679170681,0.0766838341702291,0.0590847045589899,-0.0449027109917409,-0.00548522793516143,-0.0172480898386343,0.00447762825206503,-0.0309699756027385,-0.015114283933182,0.0318390705347473,-0.0176640303924001,0.00675154870011719,-0.0643739348490804,-0.0243283520778428,-0.0461822596935326
"Raw18",0.00958149010765025,0.00703534988716986,0.0200648702675383,-0.0947037486811842,0.080359354186578,-0.00994414725709967,0.0239067544972129,-0.0291887303991397,0.0348930007228465,0.0556117810528982,0.0183002705087316,-0.0348761365552354,0.000742339031117773,0.0355502457834159,-0.0157480165603017,-0.0132483727772163,0.0322734606277262,-0.0313802265194737,0.0106678445723485,-0.0104684974337511,-0.0243582716942792,0.00504438493154604,-0.0844586158321026,0.0501713841868863,0.0174217937098162,-0.0142241181009551,0.0625629067905166,0.0897532372024452,0.0101235678679937
"Raw19",0.0187263257786285,-0.0615690370147418,0.0462276538133365,0.0278514677934879,-0.0711931405677297,0.0371689009497303,-0.0266657798168714,-0.0220124551273627,0.00649658944503386,0.0233187324132814,0.0439967926472774,-0.0277869390472388,-0.0104787982798253,0.0210914917395422,-0.0512468591850146,0.0264763978768792,0.00422091411229507,-0.0244553023717338,0.0328977154439599,-0.0589571939891706,0.0227762953185809,-0.00632869267833438,-0.0439009666363366,0.0698446608202594,-0.00479484147261365,-0.012241754692126,0.0429151110639713,-0.0429650094017541,0.0385976821046267
"Raw20",-0.0447612647822215,0.00350769290635997,0.00941944191344947,0.0648831017925017,-0.00974922872287051,-0.0853488887527307,0.0563555663750238,-0.0678060040263214,0.0747697708448733,-0.0601551783693699,0.0148464227475478,-0.0239805638899353,0.0337877637774236,0.0523833642143329,0.0400282622807053,-0.0573286836108758,-0.0643945248069156,0.0860065540963556,0.0111314486720826,-0.00228022479573951,0.0233669274995222,-0.0613984328644596,0.015505549640196,-0.0304843690730934,0.00837190471102948,-0.0178564876440438,0.017113658240242,0.0499284258359518,0.0297528079466126
"Raw21",0.0388400211227528,-0.0466312111419422,0.0375872663104322,-0.00720653934214021,0.045245148519351,0.0426384366996942,0.0359756612124201,-0.0124301372870088,0.0258631386195534,-0.0250370194140275,0.0714059550093354,-0.075331927592197,-0.0685625197288158,0.00497646633229969,-0.0350997870778803,0.0190676722750498,-0.0387704740631306,0.0408851874935764,-0.0284176387116606,0.0313175864943449,0.0384491355729045,-0.0331732611605305,-0.0042014273505035,0.0173453511750598,0.0401763213002159,0.0239538279507253,0.0295259115888837,-0.0235803390297505,-0.0974750679672482
"Raw22",0.036849645324244,-0.0543575150717426,0.0368473913310302,0.0404528485936617,0.00432065933660481,0.0455083868142657,-0.0502902418925996,-0.0451065434584118,0.0517715557521067,-0.0384866885407101,-0.0497135457249709,0.0679681331781774,0.00861730364559426,0.00392801437134783,0.056328871749569,-0.0432089965159951,-0.0649835278997766,0.0566363364001406,-0.00418507879204684,0.0125097514781449,0.0464445139255384,-0.0345563123008987,0.0202519212833184,0.026194790586086,-0.0573734495876942,0.0835289779081109,-0.0013830153243069,-0.114496562486107,-0.091605565850518
"Raw23",0.065998856394568,0.0512484426367463,-0.0385388495618315,0.00802841242807938,-0.000895700264610601,-0.0224580027579897,-0.020615608074211,0.00207530533070161,0.00478499760651705,0.0010438243478055,0.0743531715071441,-0.0712961926597508,0.0435351111244726,-0.0689053823418071,-0.0433535260644419,0.0432124633072789,-0.0310591185609776,0.0337054481265787,0.0391112325033922,-0.0459084644641071,-0.0265953448241133,0.0229385189481885,-0.0129706101130155,0.0434683848361909,0.0297848599219347,-0.00513637248821311,-0.0183954084712133,-0.0706544444326678,-0.00902973709127553
"Raw24",0.014448716653963,0.021917001152361,0.00997336433182857,-0.0569515356416063,0.0520260545351206,-0.0565418562281382,0.0113798850989435,0.0256293890108901,-0.0477693615964237,0.0160643695986163,-0.0103665477863147,0.00672701894075071,0.0664873429477612,0.0377317020170391,-0.0209172764241889,-0.00754859104294788,-0.0160141024153366,0.0069685931628861,-0.0227735658137301,0.0236685750299994,-0.063327271685094,0.0252264582846502,0.0754349572512219,-0.0740703641486065,-0.00472931697679611,-0.00473844916448526,0.0401278216849661,-0.00226262890036969,-0.00684202150963524
