"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"Raw24",0.0439578553827757,0.0220186815356337,0.0102613891917814,-0.056913440917929,0.0520035271887997,-0.0564678612423271,0.01113448324536,0.0256406501303106,-0.0477852237607904,0.0160233583000569,-0.0103576952138566,0.00672002967842039,0.0659512119938929,-0.0209094228401606,-0.00755684574332149,-0.0160169992218921,0.00697028740911062,-0.0227863900496676,0.0236746926665808,-0.0633249024297063,0.0252204089738433,0.075434169391443,-0.0740746259842516,-0.00424720932924489,-0.0044505961555286,0.0401304690818076,-0.0022546542001792,-0.0233777351572358
"Raw25",0.0490567812637885,-5.63022023339201e-05,0.0470772343518353,-0.0630883824482923,0.0989045611022311,-0.0863088130485413,0.0317359729003419,-0.0274407861784889,0.0142607833192538,-0.031252426175774,0.0772315166453674,-0.0712454546125042,0.0785854356660782,0.019357309388268,-0.0519806581439444,-0.0652054349735044,0.062394911181469,0.0032944150186181,-0.038592652440731,-0.0692984459396051,0.0807128861437987,-0.00914671541093348,0.00975193921534888,-0.0620082244619746,0.0358088263254976,0.0575163476631785,-0.0296847451529511,0.0551601886459083
"Raw26",0.0352087617801187,-0.0265076860904103,-0.00335876592070409,0.120079020095696,-0.126222264074099,0.0151442846886003,0.0321333680978655,-0.0469592899154571,0.0470807348870419,-0.0230222497638348,0.0352611534928319,-0.0398100431375819,-0.0470164157324614,0.0352590631620351,-0.0165475461875747,0.073427032218993,-0.0739080540435544,0.0112685170329656,0.0352694087099409,-0.00312147346253313,-0.0195396581256952,-0.00599196435761045,0.0128318946620392,0.0688214759003255,-0.0618924051043338,-0.0220495749183752,0.0073342195244638,-0.00834858404992998
"Raw27",0.0427943507439686,0.0154263530660884,-0.0240040210531483,0.0164501410745523,0.0265508744855384,0.0262111166005197,-0.00600762923001827,-0.0303969771012291,0.0328563357732816,-0.0300407627545075,-0.00524723618354433,0.0210230404869102,-0.00727905676598709,-0.0304516941114482,0.0446937325875393,-0.0418824405362438,0.0399839122369095,0.00788919965600467,0.0187417958375455,0.0601799173160688,-0.0363042641328983,0.0536934739411127,-0.027813602439681,0.0131399996770955,0.00906786138071472,-0.0513320864458289,-0.0447343382050927,-0.0276503631405678
"Raw28",0.0246035094066449,-0.0123601702897933,0.00594021140414638,0.0125715378422676,-0.0466360144482481,0.0100759216536001,-0.0322765378097189,0.0384472868073242,-0.0429163978761955,0.0190392916473081,0.0391609974341005,-0.0651805428202923,0.0138310064500245,0.0201834022427419,-0.0109515869856041,0.0132841487595512,-0.0389271503601206,0.096553148056447,-0.125234182242223,0.0127220941168822,-0.0342062801820557,-0.0944325654434535,0.0625594326131752,0.00117255714819685,0.00153776855159589,-0.0244456102418928,0.0729127555164122,-0.0181718426782284
"Raw29",0.0248908140398154,-0.0884223970960352,0.0623167671536748,0.0281168668502679,-0.045652509614167,0.0643916129738435,-0.0369787211135993,0.00544495606807515,0.00615030718570012,-0.00381965279145672,-0.0116463810985264,0.0253161349758674,-0.0300962027237117,0.0199771183468542,-0.00872056046684728,0.038061045502175,-0.000509134444877341,0.0337928734084357,-0.0522874295755083,0.0252763506065114,-0.00199550138873767,0.0492181824075999,-0.0437643577217548,-0.0222542515058784,0.0289557773221594,-0.00550280404253015,0.0268412261734838,-0.0171715319437604
"Raw30",0.0166666464561632,0.00704477272454126,-0.00794115978953346,-0.0255364673350096,0.0394993495042255,-0.00206598368815679,-0.0113073915543174,-0.0412215546143034,0.0179490650520598,-0.0161592856603639,-0.0939328027673908,0.0983293174944266,0.0386656787043363,0.0120147171100034,-0.0280886893916344,-0.086099952530739,0.0516523498384104,0.0106757511465864,0.00899091661835705,-0.0985261455526045,0.0540098437670276,0.0357199464972186,-0.00792826644518526,0.00484895622284347,0.0146152391476027,0.0182238275558861,-0.0511141873973324,-0.0467498276428794
"Raw31",-0.000513421669382165,-0.0631968932961525,0.0802694156478307,-0.0699803498118148,-0.0345423701564834,-0.00482040363232909,0.0194937522169221,0.0217960349113176,-0.0321467486868294,0.112056858765235,0.0727718815557372,-0.0682408933554557,-0.0169115686520196,0.00837562995122489,-0.00837995357162186,-0.0357190932428944,0.0354069402054902,0.0320079673934287,-0.00694852396550812,0.0504976636416548,-0.0551077196237173,0.0475380400465543,-0.0387133049297907,0.0145207689396291,-0.0159494720344076,0.0211106694200146,-0.0374754480113358,0.0313406977542046
"Raw32",0.0434612412929516,0.0230231061672655,-0.0496589480969686,0.0439863073295835,-0.01997365635989,0.0490959300411871,0.0280159158220227,-0.0347906942995782,0.0277685895981576,-0.0350445268140321,-0.0097821688982261,0.0113801918942191,-0.0590791394900401,0.0116176690784046,0.00688428127336382,0.115529932080433,-0.15616095022533,0.0485846466764813,-0.0644686104842933,0.0289731088278901,-0.0119305610213171,0.0400888410866718,-0.0390270398073964,0.043552807633529,-0.0343987680254529,-0.0394884159689692,0.00695634974983065,0.0254842236179932
"Raw33",-0.0238832375972465,0.00802627695885898,0.00153770547540163,0.008308224946855,-0.00135565252313964,-0.0601426140700433,0.0167621698577031,-0.0122413538314486,0.00714954547390359,-0.0121887782663069,-0.0450126209772294,0.0391375162454047,0.0415692952572006,-0.00725375103850967,-0.0151555004585661,-0.0268931079133909,0.0308273975690683,0.0081985136122876,0.0221404352152904,-0.0347600217575099,-0.000541752019167985,0.0416487803739179,-0.00814155531278216,0.00161674168048036,-0.00731945995026199,0.0473103408542691,-0.0593236274606969,0.0106114291097535
