"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw16",0.0157648648462546,-0.0125473524394953,0.00202774544559759,-0.02842371372929,0.0321819612172675,0.018420083301562,-0.0159265047103825,0.0182341193919124,-0.0130820311204402,-0.0385929276678961,0.019549677664673,-0.0314008449361765,0.0627691017903717,-0.0123334931656728,0.0167726258794054
"Raw17",0.0176345050986607,0.0463008379276803,-0.0439743459231492,0.0321583672033889,-0.03016660004105,-0.0726003964630789,0.0690531388847038,-0.00340537195927807,-0.00800950481374227,-0.0267268563763973,0.0112813330891286,-0.0225306976287873,-0.00271319307034126,-0.0293604301302802,0.0228314158836091
"Raw18",0.0407099712572906,0.0208309968501611,-0.00513070668803104,0.0110838381598715,-0.011674830709045,-0.0882039729896949,0.0920967998794272,0.00433905333086285,-0.0265668694333452,0.0185864399845204,0.0124109554049009,0.0129414844664308,0.0240193410316306,0.0150773281492784,-0.00546589630300143
"Raw19",0.0510851645852806,0.0353857324298929,-0.0370443099219382,0.00732896315943223,-0.0121600188193587,0.0438439714783987,-0.0433522614788527,0.0489204146378764,-0.0310369977787297,0.0506533024526396,-0.0429775559140936,-0.0292672346310518,8.72287071885824e-05,-0.0473075799470014,0.0595642196775744
"Raw20",0.00725796638044444,-0.00502182648852536,0.000660819394575981,-0.0740223729359777,0.0758168407278927,0.05947035299848,-0.0556225390348831,0.0397967266545965,-0.0297763877065195,-0.00303447166307537,0.00497030267000495,-0.0199888961108067,0.0415322879540621,0.033386625071082,-0.0219936417488136
"Raw21",0.0525564466903976,0.0344738655883085,-0.0317875929321462,0.0496144703787842,-0.0369434522099749,-0.00367186316700911,0.00991967361613917,0.0602566791791467,-0.084238402934379,-0.110698505908001,0.0971245758560288,0.00701006876936358,0.0206377199716015,0.0859209161228457,-0.0490873435691116
"Raw22",0.0479536574531977,0.0431097126820379,-0.0400619469276339,0.0193978428689947,-0.0205413838276717,0.0461358461427256,-0.0418687376195936,-0.0168925698201181,0.0364245972251367,0.000470698422689276,-0.0290190384897294,-0.041620489619004,0.0662765536216944,0.0293269254649524,-0.01627672929617
"Raw23",0.0746356821801542,-0.0426033298638164,0.0568137526277318,-0.0132481272589492,0.00988730291025585,0.004223118399469,0.00163757851757814,0.081983905162172,-0.0912746607431922,-0.0019636958335565,-0.00560752103047076,-0.00351390627498064,-0.00139695502082884,0.00310186893348007,0.0189563361787856
"Raw24",0.0496631027894267,-0.0196982267977622,0.0257802253757345,-0.0365986345307859,0.0297281994103716,-0.039464659990722,0.0378074496851644,0.0232449249198886,-0.0114696991186648,0.0865184817913628,-0.0449016187532512,0.0225748613197307,-0.0702650883916301,0.0341145459190024,-0.0363254858645433
"Raw25",0.0540787988381479,0.0058112499110622,0.0179185696124327,-0.0976547435957384,0.0902361700103474,-0.0661124754688613,0.0613649972106272,0.0589368821953254,-0.0564143578518675,0.0905056791365858,-0.0536432252105778,0.000217118062716143,-0.0170225926205991,0.0548153773086241,-0.0911102223935877
