"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Row85",0.0258198889747161,-0.000115737991722001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row86",0.0258198889747161,-0.00168554139475595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row87",0.0258198889747161,-0.00189964471425956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row88",0.0258198889747161,0.000368713616175324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row89",0.0258198889747161,-0.00184770860387273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row90",0.0258198889747161,-0.00167975050244001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row91",0.0258198889747161,-0.00126904130942792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row92",0.0258198889747161,-0.00221257579906623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row93",0.0258198889747161,0.00115773650851093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row94",0.0258198889747161,-0.000326893528819098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row95",0.0258198889747161,-0.000707083164498181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row96",0.0258198889747161,-0.00168314439478418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row97",0.0258198889747161,-0.00169961502323704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row98",0.0258198889747161,0.0019770108987919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row99",0.0258198889747161,-0.00040231462803433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row100",0.0258198889747161,0.0181232446006526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row101",0.0258198889747161,0.0175628857609303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row102",0.0258198889747161,0.0181789030910781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row103",0.0258198889747161,0.017700884658653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row104",0.0258198889747161,0.017842684726775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row105",0.0258198889747161,0.0168070973049439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row106",0.0258198889747161,0.0153849308774279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row107",0.0258198889747161,0.0170697845931584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row108",0.0258198889747161,0.0178099013495363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row109",0.0258198889747161,0.0184099027921042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row110",0.0258198889747161,0.0174173098895699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row111",0.0258198889747161,0.0182669680479228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row112",0.0258198889747161,0.0175376454742404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row113",0.0258198889747161,0.0164973298019106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row114",0.0258198889747161,0.0172938610931602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row115",0.0258198889747161,0.018950183831146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row116",0.0258198889747161,0.0159101075706766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row117",0.0258198889747161,0.0188134901953721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row118",0.0258198889747161,0.0187192469346662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row119",0.0258198889747161,0.0188127394967487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row120",0.0258198889747161,0.0181065845722754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row121",0.0258198889747161,0.019066882691829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row122",0.0258198889747161,0.0191215149633652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row123",0.0258198889747161,0.0173051397287286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row124",0.0258198889747161,0.0168915634733504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row125",0.0258198889747161,0.0175097302530796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row126",0.0258198889747161,0.0165445679551393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row127",0.0258198889747161,0.0166492553540087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row128",0.0258198889747161,0.016251301673684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row129",0.0258198889747161,0.0180761845890267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row130",0.0258198889747161,0.0178520382948527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row131",0.0258198889747161,0.0191095534450828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row132",0.0258198889747161,0.0192495051634337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row133",0.0258198889747161,0.0198720151801476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row134",0.0258198889747161,0.0191155872106841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row135",0.0258198889747161,0.0164252253204355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row136",0.0258198889747161,0.0194892726950894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row137",0.0258198889747161,0.0194702097227424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row138",0.0258198889747161,0.0189659886978312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row139",0.0258198889747161,0.0208672977228581,-0.000912469249334206,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row140",0.0258198889747161,0.0163842845682116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row141",0.0258198889747161,0.0161397082102159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row142",0.0258198889747161,0.0178445869490437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row143",0.0258198889747161,0.016745669983121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row144",0.0258198889747161,0.0162760721183304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row145",0.0258198889747161,0.0176046198929097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row146",0.0258198889747161,0.0182063064201982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row147",0.0258198889747161,0.0135313407719115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row148",0.0258198889747161,0.0188335706397937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row149",0.0258198889747161,0.0198164006187075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row150",0.0258198889747161,0.0156421068615523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row151",0.0258198889747161,0.0154096918372092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row152",0.0258198889747161,0.0190554653158813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row153",0.0258198889747161,0.0173311955163514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row154",0.0258198889747161,0.0159059182205465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row155",0.0258198889747161,0.018183407963329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row156",0.0258198889747161,0.016412186969296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row157",0.0258198889747161,0.0164262915001445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row158",0.0258198889747161,0.0163991869355403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row159",0.0258198889747161,0.0183237737353958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row160",0.0258198889747161,0.0175142234121581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row161",0.0258198889747161,0.0179331422640574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row162",0.0258198889747161,0.0189001929834186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row163",0.0258198889747161,0.0187887525219304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row164",0.0258198889747161,0.0180633611911112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row165",0.0258198889747161,0.0150280797066011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row166",0.0258198889747161,0.0158836727508073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row167",0.0258198889747161,0.017069288412069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row168",0.0258198889747161,0.0174375260976258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row169",0.0258198889747161,0.017837974078383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row170",0.0258198889747161,0.0186418102774604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row171",0.0258198889747161,0.0171677951480458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row172",0.0258198889747161,0.018936281570071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row173",0.0258198889747161,0.0187798482616525,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row174",0.0258198889747161,0.0186251235577092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row175",0.0258198889747161,0.0188740523078406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row176",0.0258198889747161,0.0156729455899212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row177",0.0258198889747161,0.0173994254120807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row178",0.0258198889747161,0.0161038928183033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row179",0.0258198889747161,0.0159360056697704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row180",0.0258198889747161,0.0198269910723618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row181",0.0258198889747161,0.0177814050759616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row182",0.0258198889747161,0.0185382964831325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row183",0.0258198889747161,0.0159219818881379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row184",0.0258198889747161,0.0154055969033502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row185",0.0258198889747161,0.0189484287551266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row186",0.0258198889747161,0.0197699231847207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row187",0.0258198889747161,0.0164530057209874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row188",0.0258198889747161,0.0181291176582446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row189",0.0258198889747161,0.0170291392383173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row190",0.0258198889747161,0.0172633658215254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row191",0.0258198889747161,0.0171072822422773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row192",0.0258198889747161,0.0174900108830405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row193",0.0258198889747161,0.0162004786277647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row194",0.0258198889747161,0.0147525012192268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row195",0.0258198889747161,0.0160342959261834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row196",0.0258198889747161,0.017143661987701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row197",0.0258198889747161,0.0178102082066179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row198",0.0258198889747161,0.0184846155753908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row199",0.0258198889747161,0.0168522069012986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row200",0.0258198889747161,-0.0193651491941446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row201",0.0258198889747161,-0.0189919039038086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row202",0.0258198889747161,-0.0177510793686823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row203",0.0258198889747161,-0.0178984346226782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row204",0.0258198889747161,-0.0169760627479217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row205",0.0258198889747161,-0.016511790868398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row206",0.0258198889747161,-0.0184207550386105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row207",0.0258198889747161,-0.0182999696211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row208",0.0258198889747161,-0.0196277693208807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row209",0.0258198889747161,-0.0160481114980736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row210",0.0258198889747161,-0.0158399461190358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row211",0.0258198889747161,-0.0200502582386097,0,0.00275559304883667,0,0,0,0,0,0,0,0,0,0,0,0
"Row212",0.0258198889747161,-0.0187191121941154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row213",0.0258198889747161,-0.0163614689661488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row214",0.0258198889747161,-0.0170433306072407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row215",0.0258198889747161,-0.0169665453794236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row216",0.0258198889747161,-0.0179196796153351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row217",0.0258198889747161,-0.016060611153199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row218",0.0258198889747161,-0.0192495532602088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row219",0.0258198889747161,-0.0209127985374415,0,0.004292999061982,0,0,0,0,0,0,0,0,0,0,0,0
"Row220",0.0258198889747161,-0.0167303219866011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row221",0.0258198889747161,-0.0186141746486241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row222",0.0258198889747161,-0.0204130886223754,0,0.00338580934655586,0,0,0,0,0,0,0,0,0,0,0,0
"Row223",0.0258198889747161,-0.0189298713813535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row224",0.0258198889747161,-0.0174492297200233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row225",0.0258198889747161,-0.0167855389469235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row226",0.0258198889747161,-0.0160900477287389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row227",0.0258198889747161,-0.0180457119001051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row228",0.0258198889747161,-0.018765801078421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row229",0.0258198889747161,-0.0176364283249872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row230",0.0258198889747161,-0.0181682729497942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row231",0.0258198889747161,-0.0169976791077829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row232",0.0258198889747161,-0.0155147079305772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row233",0.0258198889747161,-0.0171578834166314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row234",0.0258198889747161,-0.0168571058633499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row235",0.0258198889747161,-0.0191811581745149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row236",0.0258198889747161,-0.019232053627933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row237",0.0258198889747161,-0.0174410070630574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row238",0.0258198889747161,-0.0196833215934257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row239",0.0258198889747161,-0.0183200105098555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row240",0.0258198889747161,-0.0182245463387949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row241",0.0258198889747161,-0.01689254150464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row242",0.0258198889747161,-0.0175900966229305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row243",0.0258198889747161,-0.0173269085490335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row244",0.0258198889747161,-0.0179921690869387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row245",0.0258198889747161,-0.0187188044420936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row246",0.0258198889747161,-0.0186346216862012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row247",0.0258198889747161,-0.0175959229886061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row248",0.0258198889747161,-0.0194130349486416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row249",0.0258198889747161,-0.0201263157443031,0,0.00233912462621234,0,0,0,0,0,0,0,0,0,0,0,0
"Row250",0.0258198889747161,-0.0193178875026983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row251",0.0258198889747161,-0.0188561260107352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row252",0.0258198889747161,-0.0168691649619667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row253",0.0258198889747161,-0.0194369496492553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row254",0.0258198889747161,-0.0184335257186243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row255",0.0258198889747161,-0.0192642270430307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row256",0.0258198889747161,-0.0192220119401328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row257",0.0258198889747161,-0.0154051107277892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row258",0.0258198889747161,-0.0173256861556343,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row259",0.0258198889747161,-0.0183771016124119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row260",0.0258198889747161,-0.0191774114264286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row261",0.0258198889747161,-0.0177932086185432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row262",0.0258198889747161,-0.0194481265433626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row263",0.0258198889747161,-0.0178749882599146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row264",0.0258198889747161,-0.0183575501110909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row265",0.0258198889747161,-0.0174391053886484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row266",0.0258198889747161,-0.0165254244296687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Row267",0.0258198889747161,-0.016393037328691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
