"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Raw10",0.026291652814657,-0.0167801421607681,0.0214800305840654,-0.0176514507168275,0.0258242705295227,0.0271435724272067,-0.0206977200819452,-0.00454589871153787,0.0272618821732323,0.0698848008589132,-0.0752117543270042,0.0137493001893182,-0.0219019562562691,0.0159892294786932,0.00664095922040479,-0.0292205279368551,0.00457764697594385,0.000126250782127371,0.0471419696811804,-0.0584197183912361
"Raw11",-0.123624188643205,-0.0521512548386353,0.0283986325464238,0.00642934457416627,0.00262051734616996,0.00719638120713154,-0.0142723910349094,0.0308735303767905,-0.045685309677767,-0.0810569909069298,0.0905143313850032,0.0129299173396416,-0.00462943031665267,-0.0202774830290943,0.0323972255406855,-0.0120567499022795,0.00202259391731376,0.0240685974167516,-0.0170325903710325,-0.0251713555276293
"Raw12",0.00778361278549816,0.0637306787119143,-0.0467922341755735,0.0172893033168917,-0.0212592860733568,-0.0804216978431424,0.0924076030042177,-0.0828761416475953,0.0460562323243368,-0.0194575922571031,0.00365507518997173,-0.0275852618637408,0.0407205523444858,0.0226768930690232,-0.00994683161920936,0.102363562652961,-0.0522834333644367,0.0296021674152055,0.0648844794762612,-0.0380861231356527
"Raw13",0.0379059447968219,-0.03170020660618,0.0499830950637538,-0.0223417469849049,0.0299462013123994,-0.0633982386009332,0.0623529667857526,0.0415277577109807,-0.0238043204668871,-0.0430114302707366,0.0301798127470186,0.0483136133412932,0.0116665092363132,-0.0405482381998622,0.0172054927973827,-0.0369215771201738,-0.0217703054463207,-0.0105378089659195,0.0619513776022122,-0.00816437307724532
"Raw14",-0.00545136906677529,0.0177092193735497,-0.0167321261255878,-0.0886523442369441,0.0606315650079749,-0.0204688425574991,0.0160369679048372,0.0375804019069141,-0.034422701838385,-0.00540569582786206,-0.0323868769658426,-0.0232323614431305,-0.0019877783225849,-0.0234636853856501,0.0249204911931537,0.0229744433059151,-0.0888232361713826,0.0123728498690557,0.0300773830151707,0.0345300090269839
"Raw15",-0.0204233722090246,0.00420252688890287,-0.0138439250927881,-0.0116793967181702,-0.00326817322541911,-0.0311048125431301,0.0281669024945602,0.0682318247329597,-0.0951999869669822,-0.0741307648201417,0.0730553871593937,0.0608996589904468,-0.0475004184682826,0.0420375003491603,-0.0457525043496669,0.047487139565664,0.0449684222189203,-0.0200590210841766,0.0103230371957079,0.0135630223056066
"Raw16",0.015073186481447,-0.0068918546839806,0.0114060344092169,-0.0548578017378373,0.0679462600467069,-0.0193151474509798,0.00213741694796095,0.00582192068394203,-0.00676277234588049,-0.0779809264393275,0.105622398682995,0.0238164200511809,-0.0652120162251602,-0.0799626534793421,0.0176137494942084,-0.00101475724859516,0.0112795985021565,-0.00229084000449218,0.0174049268774338,0.0513055070630662
"Raw17",-0.00120329329219265,-0.0326725878313808,0.0454752949538649,-0.0177871268529725,0.0246093595607872,-0.00655117315299499,0.0207356084255205,-0.0277658983293983,0.0322096777028292,0.0237210201861277,-0.00799081944345698,0.0301008952092281,-0.0558338340890538,0.0929121492024965,-0.0213463281005633,-0.0522347380726438,0.0664388877919267,-0.0419777233105749,-0.0218250302869188,0.00543299197858847
"Raw18",0.00225508776951707,-0.0657013323860766,0.0749485008493195,-0.0506334032754105,0.0652434780789478,0.102289895121917,-0.104520088455248,-0.00487306546257859,0.0362916175847593,-0.0428227220755295,0.0463093511677829,0.0603049834043291,-0.0423657094334649,-0.0140212348249837,0.0219745609210085,-0.00233591149009049,-0.0505045004537285,0.000469403092564529,-0.034311143864602,0.0460021354357882
"Raw19",-0.0236665347165407,-0.0233948948189934,0.000285484522975035,-0.0140986956337547,-0.00953405449078858,0.11082831010636,-0.121835566127091,0.0785654094252482,-0.139243388878841,-0.019290866995318,0.0211000614744306,-0.00834776665355801,-0.0477096842533876,-0.0486519061105616,0.0107561210715325,0.0483469837133126,0.056968162930558,-0.0320287879761957,-0.0433749241119201,0.0389011430357343
