"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Raw14",-0.00545136906677529,0.0160904255809759,-0.0795992323170633,-0.0173468414196751,-0.0265759434017569,-0.0583087565805055,-0.0275570433789295,0.00928458918131896,-0.0202380156954509,-0.0140177814731559,-0.0221279985671175,-0.0908629572841976,0.029476614122554,0.0884108454877931,-0.00630073245866064,-0.071222126378167,0.0373584456899183,-0.0120974144937497,-0.0394390332248051,-0.0528137446466183
"Raw15",-0.0204233722090246,0.00962547506889544,-0.00505975240118585,-0.0291258626745896,0.052060443097531,-0.0911175386194982,-0.0760839861924522,-0.0700552550707956,0.0432166964022892,0.0181544869646372,-0.00884029443055154,0.0479819289956432,-0.0248373988397703,-0.00266467940589674,0.00912163309986471,-0.0293985369491675,-0.0204614881482285,-0.00836627779640043,0.0517932252196433,0.0378466957120384
"Raw16",0.015073186481447,-0.0110495488807759,-0.0588767587785889,-0.013350813143067,0.0692240780171864,0.0103004161034052,-0.0591137916672089,-0.0299544751270125,0.0240599660247552,-0.101214838093288,0.00877650194257984,0.0182534631733903,-0.0658202669619942,-0.0893864434112606,0.0382913761747349,0.0725543455853347,0.0678894902469584,0.0406401212656139,-0.0605042696627645,0.0821322117497205
"Raw17",-0.00120329329219265,-0.0404808254828971,-0.0187966328520605,-0.0133084305168395,-0.00302775070265226,0.0474229845651302,0.0238067606216576,-0.0137861380642652,0.0373453069107662,0.108511072344569,-0.0186982497737254,0.0744561157674692,-0.00632223141088332,0.00859486716944666,-0.0148497992044124,0.0324493485848357,0.0747087462602024,-0.00710754243840461,-0.0255668447861823,-0.0640367001996384
"Raw18",0.00225508776951707,-0.0741121838054154,-0.0521187563367095,0.100760217520767,0.0386234598539164,0.0415331426402156,-0.0304183569120003,0.0112632105418008,0.064588354703595,-0.0138548390287855,0.0304206176268155,-0.0385656093800529,-0.00475040981245159,-0.0102935146658348,-0.0178246091634955,0.0269715651676347,-0.00207086699325822,-0.00632787775987592,-0.00926944205562532,-0.0104288785094151
"Raw19",-0.0236665347165407,-0.0125341148994144,-0.00156037100233941,0.116339730019683,0.0135766211566382,-0.141015875660122,-0.0369021802573278,-0.0351722969047884,-0.0104750133758342,-0.0656478228069678,-0.0392991091782678,0.0534541448880318,-0.037022741239888,-0.00268533897467329,-0.0603439568615348,-0.0519046000715443,0.0576289502060991,0.0324349353611241,-0.0880089436909621,-0.0119267120654277
"Raw20",0.0382515453847163,-0.0235835384462823,0.0421407509252839,-0.0319838353399829,0.118328499253744,-0.102998689218181,0.00835962309598527,0.0329885790187886,-0.0322341710756639,0.112590326985526,0.0450170667138654,0.0814854072684015,-0.0147085195376024,-0.0215520759625663,0.00334296205094296,-0.0231949830444225,-0.0764773776396416,0.00224298215784687,0.138059339627263,0.0406214890145866
"Raw21",0.0468351736562425,-0.0466551795457472,-0.0232320543751876,-0.0161442335363483,-0.0321425515189999,0.0530681264449731,-0.019176368385563,0.0622382854373869,-0.0534595722171763,-0.0048151007781438,0.0120154495846671,-0.0145703719635075,-0.00144072366524412,0.0365686531799195,0.0821161673788587,-0.0325986248427532,-0.0184540501305977,0.0492928641436652,-0.0182637668137688,-0.00338867948170464
"Raw22",-0.00322250478982268,-0.080033000958812,0.0449779807008199,0.0205926061701858,-0.022877092052811,-0.0821313553116322,-0.0703704558972728,-0.0907263134134093,-0.0168266151002976,0.0174044245393702,-0.051101388439067,-0.0675934929470594,-0.025637529736877,0.00668220386757551,0.0379614999448051,-0.0633183799064388,-0.00927627268583831,-0.01256054367506,-0.00577340137552703,0.0148817127371384
"Raw23",0.0713614911555109,-0.0551296470201328,-0.0186693422594544,0.0271228648971834,-0.0394701527394618,0.00290728402934228,0.0200295360382072,-0.018205111795668,-0.0138455987147409,-0.0343478243131249,-0.0176044421648831,0.0337028239276055,-0.0159554196464398,-0.00888229344721351,0.0956267106260037,-0.00411206500793832,0.0786350203196909,0.0541624123371188,-0.033932016137034,-0.0160209969481651
"Raw24",-0.0574680535832176,-0.0311275936210762,-0.0289373420650048,-0.0570942449282842,-0.00338907174009186,0.0540318779858544,-0.0445283214918575,0.0187215074843579,0.0349866792539981,-0.015124854602597,0.0299328044206371,0.00588635423201534,-0.0590927042342022,-0.034342420099392,0.0837282938690406,0.0213135815415682,0.0039970435788791,-0.0265176587557212,0.0107964535130594,-0.0477355383109544
